STATE,,YEAR,MONTH,MIN_TEMP,MAX_TEMP,RAINFALL,CLOUD_COVER,WET_DAY_FREQ,DIURNAL_TEMP,FLOOD OCCURRENCE,,,,,,,,,,,
BIHAR,PATNA,1996,JUNE,26.129,37.022,120.293,59.548,5.2606,10.871,NO,,,,,,,,,,,
BIHAR,PATNA,1996,JULY,26.126,33.083,197.767,69.625,11.4361,6.958,NO,,,,,,,,,,,
BIHAR,PATNA,1996,AUGUST,24.902,31.409,316.225,68.987,13.9812,6.483,YES,,,,,,,,,,,
BIHAR,PATNA,1996,SEPTEMBER,25.872,33.097,137.363,53.088,7.1792,7.223,NO,,,,,,,,,,,
BIHAR,PATNA,1996,OCTOBER,21.488,32.136,150.861,36.906,4.9969,10.647,NO,,,,,,,,,,,
BIHAR,PATNA,1996,NOVEMBER,15.152,29.926,0,8.799,0,14.771,NO,,,,,,,,,,,
BIHAR,PATNA,1996,DECEMBER,10.301,25.126,0,23.367,0,14.828,NO,,,,,,,,,,,
BIHAR,PATNA,1997,JANUARY,8.97,22.656,19.628,19.752,1.801,13.686,NO,,,,,,,,,,,
BIHAR,PATNA,1997,FEBRUARY,10.706,25.682,10.386,17.654,1.0022,14.953,NO,,,,,,,,,,,
BIHAR,PATNA,1997,MARCH,17.457,32.708,3.382,24.829,1.0082,15.253,NO,,,,,,,,,,,
BIHAR,PATNA,1997,APRIL,21.27,37.163,4.849,24.757,1,15.892,NO,,,,,,,,,,,
BIHAR,PATNA,1997,MAY,25.39,39.561,58.573,28.765,3.4444,14.173,NO,,,,,,,,,,,
BIHAR,PATNA,1997,JUNE,28.552,39.466,51.544,45.187,4.756,10.914,NO,,,,,,,,,,,
BIHAR,PATNA,1997,JULY,26.349,33.299,187.016,75.056,12.8335,6.952,NO,,,,,,,,,,,
BIHAR,PATNA,1997,AUGUST,25.819,32.339,335.063,62.128,14.0815,6.519,YES,,,,,,,,,,,
BIHAR,PATNA,1997,SEPTEMBER,24.769,32.093,116.168,60.842,6.6381,7.325,NO,,,,,,,,,,,
BIHAR,PATNA,1997,OCTOBER,21.283,31.846,37.98,33.148,2.3011,10.565,NO,,,,,,,,,,,
BIHAR,PATNA,1997,NOVEMBER,15.814,29.36,26.824,14.875,1,13.544,NO,,,,,,,,,,,
BIHAR,PATNA,1997,DECEMBER,11.165,24.85,8.571,36.286,2.0063,13.664,NO,,,,,,,,,,,
BIHAR,PATNA,1998,JANUARY,9.277,23.666,6.306,22.947,1.6862,14.389,NO,,,,,,,,,,,
BIHAR,PATNA,1998,FEBRUARY,12.886,26.87,19.604,23.719,1.53,13.971,NO,,,,,,,,,,,
BIHAR,PATNA,1998,MARCH,15.098,30.546,6.168,23.019,1.0926,15.445,NO,,,,,,,,,,,
BIHAR,PATNA,1998,APRIL,21.595,36.896,9.471,50.202,1.0022,15.299,NO,,,,,,,,,,,
BIHAR,PATNA,1998,MAY,25.771,39.526,59.759,31.41,3.0787,13.756,NO,,,,,,,,,,,
BIHAR,PATNA,1998,JUNE,29.548,40.319,28.342,50.701,3.1966,10.771,NO,,,,,,,,,,,
BIHAR,PATNA,1998,JULY,25.913,32.708,179.812,72.787,11.6594,6.798,NO,,,,,,,,,,,
BIHAR,PATNA,1998,AUGUST,26.503,32.437,255.887,73.63,12.0183,5.92,YES,,,,,,,,,,,
BIHAR,PATNA,1998,SEPTEMBER,25.904,32.749,162.033,56.805,8.1814,6.848,NO,,,,,,,,,,,
BIHAR,PATNA,1998,OCTOBER,24.014,34,172.418,36.229,3.7417,9.986,NO,,,,,,,,,,,
BIHAR,PATNA,1998,NOVEMBER,16.519,29.271,21.864,23.421,1,12.752,NO,,,,,,,,,,,
BIHAR,PATNA,1998,DECEMBER,11.416,25.645,0,25.53,0,14.227,NO,,,,,,,,,,,
BIHAR,PATNA,1999,JANUARY,9.421,23.433,24.358,19.429,1.6221,13.989,NO,,,,,,,,,,,
BIHAR,PATNA,1999,FEBRUARY,12.994,27.83,11.34,22.048,1.1236,14.813,NO,,,,,,,,,,,
BIHAR,PATNA,1999,MARCH,17.196,33.832,0.876,27.444,0.8399,16.638,NO,,,,,,,,,,,
BIHAR,PATNA,1999,APRIL,24.134,40.492,0.005,14.047,0.0053,16.356,NO,,,,,,,,,,,
BIHAR,PATNA,1999,MAY,26.268,40.662,28.552,37.006,2.2709,14.394,NO,,,,,,,,,,,
BIHAR,PATNA,1999,JUNE,27.202,38.074,98.356,56.437,5.5896,10.871,NO,,,,,,,,,,,
BIHAR,PATNA,1999,JULY,25.907,33.328,267.166,76.69,12.6667,7.423,YES,,,,,,,,,,,
BIHAR,PATNA,1999,AUGUST,26.066,32.137,250.604,74.57,12.8692,6.073,YES,,,,,,,,,,,
BIHAR,PATNA,1999,SEPTEMBER,25.32,32.224,134.907,67.75,7.8432,6.906,NO,,,,,,,,,,,
BIHAR,PATNA,1999,OCTOBER,22.488,33.087,29.494,45.234,2.207,10.598,NO,,,,,,,,,,,
BIHAR,PATNA,1999,NOVEMBER,16.201,30.27,0.632,45.173,0.6192,14.068,NO,,,,,,,,,,,
BIHAR,PATNA,1999,DECEMBER,12.159,24.844,0.129,23.143,0.1294,12.665,NO,,,,,,,,,,,
BIHAR,PATNA,2000,JANUARY,10.072,24.173,11.627,16.321,1.0051,14.098,NO,,,,,,,,,,,
BIHAR,PATNA,2000,FEBRUARY,12.359,25.503,19.336,29.644,1.779,13.124,NO,,,,,,,,,,,
BIHAR,PATNA,2000,MARCH,16.77,32.189,5.407,20.179,1,15.418,NO,,,,,,,,,,,
BIHAR,PATNA,2000,APRIL,23.374,39.417,10.783,12.846,1.0009,16.021,NO,,,,,,,,,,,
BIHAR,PATNA,2000,MAY,26.232,39.963,8.75,30.317,1.6357,13.731,NO,,,,,,,,,,,
BIHAR,PATNA,2000,JUNE,26.891,37.351,130.913,57.761,6.0294,10.445,NO,,,,,,,,,,,
BIHAR,PATNA,2000,JULY,27.06,33.89,110.454,71.905,11.0295,6.831,NO,,,,,,,,,,,
BIHAR,PATNA,2000,AUGUST,25.997,32.72,128.32,63.681,11.6172,6.721,NO,,,,,,,,,,,
BIHAR,PATNA,2000,SEPTEMBER,24.867,31.966,240.098,57.032,9.4801,7.098,YES,,,,,,,,,,,
BIHAR,PATNA,2000,OCTOBER,22.888,33.421,0.955,29.435,0.8624,10.52,NO,,,,,,,,,,,
BIHAR,PATNA,2000,NOVEMBER,16.984,30.967,0,20.761,0,13.947,NO,,,,,,,,,,,
BIHAR,PATNA,2000,DECEMBER,10.404,25.467,0.147,21.489,0.1482,15.051,NO,,,,,,,,,,,
BIHAR,PATNA,2001,JANUARY,9.448,24.054,2.752,18.676,1.0051,14.591,NO,,,,,,,,,,,
BIHAR,PATNA,2001,FEBRUARY,11.984,26.89,1.617,22.133,0.9774,14.904,NO,,,,,,,,,,,
BIHAR,PATNA,2001,MARCH,16.923,32.795,24.742,29.869,1.7742,15.855,NO,,,,,,,,,,,
BIHAR,PATNA,2001,APRIL,22.834,38.653,10.103,16.927,1.0004,15.802,NO,,,,,,,,,,,
BIHAR,PATNA,2001,MAY,26.915,40.862,11.725,31.655,1.7691,13.947,NO,,,,,,,,,,,
BIHAR,PATNA,2001,JUNE,26.328,36.107,29.482,61.886,4.122,9.779,NO,,,,,,,,,,,
BIHAR,PATNA,2001,JULY,25.767,32.552,219.153,78.546,11.7651,6.786,YES,,,,,,,,,,,
BIHAR,PATNA,2001,AUGUST,26.266,32.988,271.779,65.4,12.674,6.721,YES,,,,,,,,,,,
